IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.245.224,8880,8880,false,HKG,Asia Pacific,Hong Kong,56,1.01
8.217.145.40,80,80,false,HKG,Asia Pacific,Hong Kong,87,1.01
47.242.157.96,2082,2082,false,HKG,Asia Pacific,Hong Kong,81,1.00
8.218.204.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,69,1.00
8.218.18.235,2082,2082,false,HKG,Asia Pacific,Hong Kong,56,1.00
47.242.232.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,72,1.00
8.218.48.92,2095,2095,false,HKG,Asia Pacific,Hong Kong,81,0.99
47.242.234.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,81,0.99
8.210.66.190,2083,2083,true,HKG,Asia Pacific,Hong Kong,69,0.98
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,0.98
8.210.245.224,2086,2086,false,HKG,Asia Pacific,Hong Kong,81,0.97
8.217.85.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,74,0.97
8.210.100.23,80,80,false,HKG,Asia Pacific,Hong Kong,65,0.96
47.242.59.216,2052,2052,false,HKG,Asia Pacific,Hong Kong,55,0.96
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,56,0.95
8.217.164.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,81,0.93
8.210.3.24,2086,2086,false,HKG,Asia Pacific,Hong Kong,78,0.92
8.218.3.12,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,0.91
47.243.60.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,70,0.89
47.242.59.216,2082,2082,false,HKG,Asia Pacific,Hong Kong,78,0.89
8.217.207.60,8080,8080,false,HKG,Asia Pacific,Hong Kong,205,0.89
47.242.155.183,2052,2052,false,HKG,Asia Pacific,Hong Kong,69,0.88
47.242.59.216,80,80,false,HKG,Asia Pacific,Hong Kong,57,0.88
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,57,0.87
47.243.60.150,80,80,false,HKG,Asia Pacific,Hong Kong,243,0.87
8.218.11.90,2086,2086,false,HKG,Asia Pacific,Hong Kong,81,0.85
8.218.18.235,80,80,false,HKG,Asia Pacific,Hong Kong,73,0.85
47.243.74.220,80,80,false,HKG,Asia Pacific,Hong Kong,52,0.85
47.243.91.58,8080,8080,false,HKG,Asia Pacific,Hong Kong,69,0.84
47.242.234.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,53,0.82
8.210.100.23,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,0.81
47.243.206.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,72,0.80
8.218.11.90,80,80,false,HKG,Asia Pacific,Hong Kong,58,0.80
8.217.145.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,74,0.79
8.218.211.17,2095,2095,false,HKG,Asia Pacific,Hong Kong,53,0.78
47.243.91.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,108,0.78
